model_name,predictions
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
enable secret Str0ng!Pass
enable password cisco123
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
line console 0
 exec-timeout 10 30
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
line console 0
 exec-timeout 0 0
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface gigabitethernet 0/0
 description Link to SW1
 ip address 10.0.1.1 255.255.255.0
 no shutdown
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface vlan 20
 ip address 10.0.20.1 255.255.255.0
!
ip default-gateway 10.0.20.254
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
router rip
 version 2
 network 10.0.1.0
 network 10.0.12.0
 no auto-summary
!
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
interface loopback 0
 ip address 192.168.100.1 255.255.255.255
 ipv6 address 2001:db8:1::1/128
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
ip domain-name network.lab
ip name-server 8.8.8.8
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface loopback 0
 ip address 10.255.0.1 255.255.255.0
 ipv6 address 2001:db8:ffff::1/128
!
!
end
[/configs/router3.cfg]"
